rank,first_name,number
1,佐藤 ,1830000
2,鈴木 ,1769000
3,高橋 ,1383000
4,田中 ,1312000
5,伊藤 ,1053000
6,渡辺 ,1043000
7,山本 ,1029000
8,中村 ,1026000
9,小林 ,1010000
10,加藤 ,873000
11,吉田 ,813000
12,山田 ,799000
13,佐々木 ,656000
14,山口 ,631000
15,松本 ,616000
16,井上 ,603000
17,木村 ,565000
18,林 ,536000
19,斎藤 ,532000
20,清水 ,523000
21,山崎 ,473000
22,森 ,457000
23,池田 ,441000
24,橋本 ,439000
25,阿部 ,432000
26,石川 ,420000
27,山下 ,410000
28,中島 ,394000
29,石井 ,392000
30,小川 ,390000
31,前田 ,373000
32,岡田 ,372000
33,長谷川 ,370000
34,藤田 ,366000
35,後藤 ,364000
36,近藤 ,362000
37,村上 ,347000
38,遠藤 ,326000
39,青木 ,323000
40,坂本 ,319000
41,斉藤 ,316000
42,福田 ,306000
43,太田 ,304000
44,西村 ,302000
45,藤井 ,301000
46,金子 ,292000
47,岡本 ,290000
48,藤原 ,289000
49,中野 ,288000
50,三浦 ,288000
51,原田 ,285000
52,中川 ,285000
53,松田 ,282000
54,竹内 ,281000
55,小野 ,274000
56,田村 ,273000
57,中山 ,264000
58,和田 ,261000
59,石田 ,260000
60,森田 ,256000
61,上田 ,242000
62,原 ,241000
63,内田 ,241000
64,柴田 ,238000
65,酒井 ,235000
66,宮崎 ,233000
67,横山 ,231000
68,高木 ,229000
69,安藤 ,227000
70,宮本 ,223000
71,大野 ,217000
72,小島 ,213000
73,谷口 ,210000
74,今井 ,209000
75,工藤 ,207000
76,高田 ,206000
77,増田 ,205000
78,丸山 ,204000
79,杉山 ,203000
80,村田 ,202000
81,大塚 ,201000
82,新井 ,201000
83,小山 ,200000
84,平野 ,200000
85,藤本 ,198000
86,河野 ,196000
87,上野 ,196000
88,野口 ,196000
89,武田 ,195000
90,松井 ,190000
91,千葉 ,188000
92,岩崎 ,188000
93,菅原 ,187000
94,木下 ,184000
95,久保 ,183000
96,佐野 ,182000
97,野村 ,182000
98,松尾 ,179000
99,市川 ,178000
100,菊地 ,178000
101,杉本 ,178000
